City,SSP,Year,ElectricityInflationRate,FuelInflationRate,Weight_MarginalAnnualCostSavings,Weight_MarginalAnnualGovtSavings,Weight_GHGEmissionSavings20yr,BuildingFootprintArea_m2,V_bites,Albedo_roof,A_ST,Rvalue_roof,Loan,Rebate,Rvalue_wall,Glazing,IntRate,Infiltration,Electax,SHGC,Fueltax,A_PV,TotalOperationalCO2Save_kgCO2,TotalEmbodiedCO2_kgCO2,CostAnnualSysSave_CAD,TotalCO2Sav,AnnSCCSav_CAD,BaseCostAnnual_CAD,PercentCostSysSav_percent,AnnGovtCostSav_CAD
Calgary,SSP126,2025,0.01,0.01,0.6,0.2,0.2,130,0.25,0.7,0.3,6.17,2000,25000,4.76,0.1,0.5,1,10,0.7,4,0.6,106572,13985,986,92586,1335,2158,46,-1569
Calgary,SSP126,2025,0.05,0.01,0.6,0.2,0.2,130,0.05,0.5,0.3,7.17,2000,20000,4.76,0.35,1,1,10,0.7,4,0.6,104748,14575,762,90173,1300,2609,29,-1305
Calgary,SSP126,2025,0.01,0.05,0.6,0.2,0.2,130,0.25,0.1,0.4,6.17,2000,20000,5.26,0.15,1.25,1.25,2,0.7,10,0.6,106572,15355,537,91216,1314,2756,19,-1260
Calgary,SSP126,2025,0.05,0.05,0.6,0.2,0.2,130,0.09,0.6,0.2,6.17,4000,40000,4.76,0.35,0.5,1.25,6,0.7,0,0.6,104938,13361,2370,91577,1320,3207,74,-2463
Calgary,SSP126,2025,0.01,0.01,0.6,0.2,0.2,130,0.25,0.5,0.1,6.17,2000,20000,4.76,0.3,1,1.25,8,0.6,4,0.6,101703,13985,642,87718,1264,2158,30,-1258
Calgary,SSP126,2025,0.05,0.01,0.6,0.2,0.2,130,0.05,0.7,0.4,6.17,2000,25000,4.76,0.3,1,0.75,10,0.7,4,0.6,104748,13205,1384,91543,1320,2609,53,-1602
Calgary,SSP126,2025,0.01,0.05,0.6,0.2,0.2,130,0.21,0.4,0.5,6.17,4000,35000,4.76,0.25,1.5,0.5,2,0.7,4,0.6,106087,13829,1703,92258,1330,2756,62,-2121
Calgary,SSP126,2025,0.05,0.05,0.6,0.2,0.2,130,0.05,0.2,0.1,6.17,8000,20000,4.76,0.15,0.75,1,0,0.7,4,0.6,104748,13205,1209,91543,1320,3207,38,-1255
Calgary,SSP126,2025,0.01,0.01,0.6,0.2,0.2,130,0.25,0.5,0.5,6.17,8000,45000,4.76,0.2,1.25,1,2,0.7,4,0.6,106572,13985,2087,92586,1335,2158,97,-2725
Calgary,SSP126,2025,0.05,0.01,0.6,0.2,0.2,130,0.05,0.1,0.5,6.17,0,40000,4.76,0.15,1.5,0.5,2,0.7,2,0.6,104748,13205,2160,91543,1320,2609,83,-2406
Calgary,SSP126,2025,0.01,0.05,0.6,0.2,0.2,130,0.25,0.6,0.2,6.17,2000,20000,4.76,0.35,0.5,0.5,10,0.6,2,0.6,101703,13985,828,87718,1264,2756,30,-1272
Calgary,SSP126,2025,0.05,0.05,0.6,0.2,0.2,130,0.25,0.1,0.2,6.17,2000,20000,5.26,0.1,1.25,1.25,8,0.7,8,0.6,106572,15355,862,91216,1314,3207,27,-1304
Calgary,SSP126,2025,0.01,0.01,0.6,0.2,0.2,130,0.05,0.1,0.2,6.17,2000,20000,5.26,0.35,0.25,1.25,4,0.6,4,0.6,99891,14575,341,85316,1229,2158,16,-1246
Calgary,SSP126,2025,0.05,0.01,0.6,0.2,0.2,130,0.05,0.7,0.2,6.17,8000,20000,4.76,0.25,1.5,0.75,2,0.7,0,0.6,104748,13205,998,91543,1320,2609,38,-1219
Calgary,SSP126,2025,0.01,0.05,0.6,0.2,0.2,130,0.25,0.1,0.1,6.17,4000,25000,4.76,0.35,1.25,0.5,2,0.7,10,0.6,106572,13985,1160,92586,1335,2756,42,-1563
Calgary,SSP126,2025,0.05,0.05,0.6,0.2,0.2,130,0.25,0.6,0.1,6.17,2000,40000,4.76,0.15,1.25,0.75,8,0.7,8,0.6,106572,13985,2345,92586,1335,3207,73,-2494
Calgary,SSP126,2025,0.01,0.01,0.6,0.2,0.2,130,0.21,0.2,0.5,6.17,10000,45000,4.76,0.3,0.75,1.5,10,0.7,8,0.6,106087,13829,2183,92258,1330,2158,101,-2817
Calgary,SSP126,2025,0.05,0.01,0.6,0.2,0.2,130,0.05,0.3,0.5,6.17,4000,30000,5.26,0.35,1.5,1,2,0.7,4,0.6,104748,14575,1254,90173,1300,2609,48,-1823
Calgary,SSP126,2025,0.01,0.05,0.6,0.2,0.2,130,0.05,0.1,0.5,6.17,0,20000,4.76,0.35,0.5,0.5,4,0.7,4,0.6,104748,13205,886,91543,1320,2756,32,-1235
Calgary,SSP126,2025,0.05,0.05,0.6,0.2,0.2,130,0.13,0.5,0.3,6.17,2000,30000,4.76,0.3,1.25,1.5,2,0.7,0,0.6,105254,13517,1728,91737,1322,3207,54,-1809
